city,category,hotel_1,value_1,name_1,hotel_2,value_2,name_2,hotel_3,value_3,name_3,hotel_4,value_4,name_4
Austin,rooms,288742,5.0,Austin Motor Inn,656307,5.0,Economy Inn Austin,1762662,4.7,La Quinta Inn & Suites Austin/Cedar Park/Lakeline,1023853,4.7,Super 8 - 183 Airport
San Francisco,service,81126,4.8,Mandarin Oriental - San Francisco,80983,4.7,Hotel Drisco,224948,4.7,Omni San Francisco Hotel,1175274,4.5,Fairmont Heritage Place - Ghirardelli Square
San Francisco,cleanliness,571427,5.0,Synergy Avalon Mission Bay,1175274,4.9,Fairmont Heritage Place - Ghirardelli Square,81126,4.9,Mandarin Oriental - San Francisco,80983,4.8,Hotel Drisco
San Francisco,overall,571427,5.0,Synergy Avalon Mission Bay,1175274,4.7,Fairmont Heritage Place - Ghirardelli Square,80983,4.7,Hotel Drisco,224953,4.6,Four Seasons Hotel San Francisco
San Francisco,value,571427,5.0,Synergy Avalon Mission Bay,501344,4.5,Hotel Mayflower,217844,4.5,The Orchard Hotel,1175274,4.4,Fairmont Heritage Place - Ghirardelli Square
San Francisco,location,1973577,5.0,Paramount Rental Apartment,571427,5.0,Synergy Avalon Mission Bay,654032,5.0,Essex Hotel,563989,4.7,Park Hotel
San Francisco,sleep_quality,81126,4.8,Mandarin Oriental - San Francisco,112325,4.3,Hotel Cartwright Union Square,80864,4.2,The Carriage Inn,1973577,4.0,Paramount Rental Apartment
San Francisco,rooms,571427,5.0,Synergy Avalon Mission Bay,1175274,4.9,Fairmont Heritage Place - Ghirardelli Square,80983,4.7,Hotel Drisco,224948,4.6,Omni San Francisco Hotel
Indianapolis,service,120796,5.0,InTown Suites Indianapolis Northwest,1008647,4.9,Comfort Suites Indianapolis,224814,4.9,Motel 6 Pyramid's Indianapolis,1239568,4.9,Candlewood Suites Indianapolis Northwest
Indianapolis,cleanliness,120796,5.0,InTown Suites Indianapolis Northwest,1008647,4.9,Comfort Suites Indianapolis,1236866,4.9,Hampton Inn Indianapolis Northwest - Park 100,1201174,4.9,Hampton Inn & Suites Indianapolis-Airport
Indianapolis,overall,120796,5.0,InTown Suites Indianapolis Northwest,1206274,4.7,Drury Inn & Suites Indianapolis Northeast,1008647,4.7,Comfort Suites Indianapolis,1239568,4.7,Candlewood Suites Indianapolis Northwest
Indianapolis,value,120796,5.0,InTown Suites Indianapolis Northwest,1206274,4.8,Drury Inn & Suites Indianapolis Northeast,1008647,4.8,Comfort Suites Indianapolis,91502,4.7,Jameson Inn Indianapolis-Carmel
